sentence,word_tags
I have visited Mount Fuji recently.,"O,O,O,B-mount,I-mount,O"
Mount Kosciuszko and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Everest is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
People often climb Mount Aconcagua during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
The river flows through the valley.,"O,O,O,O,O,O"
I have visited Mount McKinley recently.,"O,O,O,B-mount,I-mount,O"
The Himalayas is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
The peaks of Mount Everest are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
I have visited Annapurna recently.,"O,O,O,B-mount,O"
I have visited Mount Everest recently.,"O,O,O,B-mount,I-mount,O"
The sun sets behind the hills every evening.,"O,O,O,O,O,O,O,O"
We went stargazing last night.,"O,O,O,O,O"
People often climb Mount Olympus during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
People often climb Mount McKinley during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
The peaks of K2 are covered in snow.,"B-mount,O,O,B-mount,O,O,O,O"
Mount Elbrus is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
Mount Kosciuszko is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
The view from here is breathtaking.,"O,O,O,O,O,O"
K2 is known for its beauty.,"B-mount,O,O,O,O,O"
She enjoys camping in remote areas.,"O,O,O,O,O,O"
The forest is dense and full of life.,"O,O,O,O,O,O,O,O"
People often climb The Andes during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
I have visited Mount Olympus recently.,"O,O,O,B-mount,I-mount,O"
Mount Aconcagua and The Rockies are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
People often climb Denali during the summer.,"O,O,O,B-mount,O,O,O"
I have visited Mount Whitney recently.,"O,O,O,B-mount,I-mount,O"
I have visited The Himalayas recently.,"O,O,O,B-mount,I-mount,O"
Mount Aconcagua and Mont Blanc are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The peaks of Annapurna are covered in snow.,"B-mount,O,O,B-mount,O,O,O,O"
The peaks of The Himalayas are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
People often climb Mount Elbrus during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
I have visited Mount Logan recently.,"O,O,O,B-mount,I-mount,O"
Matterhorn and The Andes are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The peaks of Mont Blanc are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
The Rockies and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
He packed his bag and set off on an adventure.,"O,O,O,O,O,O,O,O,O,O"
I have visited Mount Aconcagua recently.,"O,O,O,B-mount,I-mount,O"
The Alps is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
People often climb Mount Kilimanjaro during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
Mount Logan and Mount Olympus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
This area is famous for its wildlife.,"O,O,O,O,O,O,O"
People often climb The Rockies during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
Mount Everest and Matterhorn are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
I have visited K2 recently.,"O,O,O,B-mount,O"
The peaks of Matterhorn are covered in snow.,"B-mount,O,O,B-mount,O,O,O,O"
People often climb Mount Fuji during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
I have visited Denali recently.,"O,O,O,B-mount,O"
The peaks of Mount Kilimanjaro are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
I love hiking in the countryside.,"O,O,O,O,O,O"
The peaks of Mount Logan are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
K2 and K2 are popular destinations.,"B-mount,O,B-mount,O,O,O"
Mount Olympus and The Rockies are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mont Blanc and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kilimanjaro is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
Mount McKinley and Mount Whitney are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
I have visited Mont Blanc recently.,"O,O,O,B-mount,I-mount,O"
People often climb Mount Whitney during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
The peaks of Mount Fuji are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
The peaks of Mount Olympus are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
The peaks of Mount Elbrus are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
Matterhorn is known for its beauty.,"B-mount,O,O,O,O,O"
People often climb Mount Everest during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
Mount Aconcagua is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
K2 and Mount Elbrus are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Logan is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
People often climb Matterhorn during the summer.,"O,O,O,B-mount,O,O,O"
The peaks of Denali are covered in snow.,"B-mount,O,O,B-mount,O,O,O,O"
I have visited Mount Kilimanjaro recently.,"O,O,O,B-mount,I-mount,O"
The Rockies and Denali are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount Logan and Mount Aconcagua are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Aconcagua and Mount Elbrus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount McKinley and Mount Aconcagua are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
I have visited The Andes recently.,"O,O,O,B-mount,I-mount,O"
Mount Olympus is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
Mount Whitney is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
The weather is beautiful today.,"O,O,O,O,O"
Mount Aconcagua and Mount Kilimanjaro are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Denali and The Andes are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The Rockies and Mount Kosciuszko are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kosciuszko and K2 are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Denali is known for its beauty.,"B-mount,O,O,O,O,O"
People often climb Mount Logan during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
People often climb Mont Blanc during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
Mont Blanc and Mount Logan are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kosciuszko and Mont Blanc are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
I have visited The Alps recently.,"O,O,O,B-mount,I-mount,O"
People often climb Mount Kosciuszko during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
Mount Whitney and Mount Kilimanjaro are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
I have visited Mount Kosciuszko recently.,"O,O,O,B-mount,I-mount,O"
Mount Whitney and Mount Logan are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kosciuszko and Mount Whitney are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The peaks of Mount Kosciuszko are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
The peaks of Mount Aconcagua are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
Annapurna is known for its beauty.,"B-mount,O,O,O,O,O"
Mount Elbrus and Annapurna are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
People often climb The Himalayas during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
Mount Everest and Mount Logan are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount McKinley and Mont Blanc are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
People often climb Annapurna during the summer.,"O,O,O,B-mount,O,O,O"
Mount McKinley is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
K2 and Mount Aconcagua are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Logan and Matterhorn are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
The peaks of The Alps are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
Mount Kilimanjaro and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Himalayas and K2 are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
I have visited Matterhorn recently.,"O,O,O,B-mount,O"
The Rockies and Annapurna are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount Kosciuszko and The Rockies are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mont Blanc and Denali are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
The Alps and Annapurna are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
The peaks of The Andes are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
Annapurna and The Alps are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The Alps and Denali are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
The Himalayas and Mount Olympus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Fuji and The Himalayas are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Olympus and Mount Everest are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Andes and K2 are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
The Andes and Mount Logan are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kilimanjaro and Mount Olympus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Rockies and Mont Blanc are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Rockies and Mount Elbrus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
People often climb The Alps during the summer.,"O,O,O,B-mount,I-mount,O,O,O"
K2 and Mount Everest are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Fuji is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
Mount McKinley and Mount McKinley are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mont Blanc and Mount Kosciuszko are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Elbrus and Mont Blanc are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Whitney and Mount Olympus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Andes and The Himalayas are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The peaks of Mount Whitney are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
The Andes and The Alps are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Andes is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
People often climb K2 during the summer.,"O,O,O,B-mount,O,O,O"
Annapurna and Mont Blanc are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Denali and The Alps are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
K2 and Mount Fuji are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The peaks of The Rockies are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
Matterhorn and Mount Kosciuszko are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The Rockies and The Himalayas are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount McKinley and Mount Olympus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
I have visited The Rockies recently.,"O,O,O,B-mount,I-mount,O"
The Rockies and The Andes are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Whitney and Mount Elbrus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Denali and Denali are popular destinations.,"B-mount,O,B-mount,O,O,O"
Mount Kilimanjaro and Denali are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mont Blanc is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
Mount Kosciuszko and Mount Logan are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The peaks of Mount McKinley are covered in snow.,"B-mount,O,O,B-mount,I-mount,O,O,O,O"
Mont Blanc and Matterhorn are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
The Alps and Mount Elbrus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Aconcagua and The Himalayas are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kilimanjaro and The Alps are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Annapurna and Matterhorn are popular destinations.,"B-mount,O,B-mount,O,O,O"
Mount Aconcagua and Mount Aconcagua are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Aconcagua and Mount Kosciuszko are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Denali and Mount McKinley are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Olympus and K2 are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Matterhorn and Mount Aconcagua are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The Rockies is known for its beauty.,"B-mount,I-mount,O,O,O,O,O"
The Andes and Mont Blanc are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Denali and Mount Whitney are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The Rockies and Mount Aconcagua are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Denali and The Himalayas are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The Andes and Matterhorn are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
