sentence,word_tags
The Andes and Mount McKinley are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Alps and Mount Whitney are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Elbrus and Mount Whitney are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Rockies and K2 are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount Whitney and Mont Blanc are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Annapurna and Mount Everest are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Whitney and The Rockies are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Himalayas and Denali are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount McKinley and The Andes are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Aconcagua and The Alps are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kosciuszko and Mount Aconcagua are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Whitney and The Andes are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Himalayas and Matterhorn are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount Kosciuszko and Mount Kilimanjaro are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Rockies and Mount Kilimanjaro are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kilimanjaro and Mount Kosciuszko are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Logan and The Alps are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
I have visited Mount Elbrus recently.,"O,O,O,B-mount,I-mount,O"
Mount Aconcagua and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Himalayas and The Alps are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Alps and The Rockies are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Logan and Mount Whitney are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Whitney and Annapurna are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
The Himalayas and The Rockies are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Everest and The Himalayas are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Andes and Mount Aconcagua are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Andes and The Rockies are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Fuji and Mount Aconcagua are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Whitney and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Matterhorn and Mount Whitney are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Whitney and Mount Kosciuszko are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Andes and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Annapurna and Annapurna are popular destinations.,"B-mount,O,B-mount,O,O,O"
Mount Fuji and The Alps are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mont Blanc and Mount Aconcagua are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Matterhorn and Mount Elbrus are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Annapurna and The Rockies are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The Andes and Mount Whitney are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mont Blanc and Mont Blanc are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Olympus and Denali are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
The Alps and Mount Aconcagua are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Elbrus and Matterhorn are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Annapurna and Mount McKinley are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Matterhorn and The Rockies are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount McKinley and Mount Elbrus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kosciuszko and Mount Kosciuszko are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount McKinley and The Rockies are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Matterhorn and Mount Everest are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Elbrus and Mount Kosciuszko are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Annapurna and Mount Olympus are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Denali and K2 are popular destinations.,"B-mount,O,B-mount,O,O,O"
Mont Blanc and The Rockies are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Himalayas and The Andes are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount McKinley and K2 are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mont Blanc and Mount Olympus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kilimanjaro and Mount Kilimanjaro are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kosciuszko and Matterhorn are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
The Andes and The Andes are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Fuji and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Aconcagua and Mount McKinley are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Whitney and The Alps are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Denali and Mont Blanc are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The Himalayas and Mount Logan are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Annapurna and K2 are popular destinations.,"B-mount,O,B-mount,O,O,O"
Mount Elbrus and The Alps are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Aconcagua and Mount Whitney are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Everest and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kosciuszko and Mount McKinley are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Alps and The Himalayas are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Everest and Mount Kosciuszko are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Logan and Mount Kosciuszko are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Olympus and Mount McKinley are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount McKinley and Denali are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount Fuji and Denali are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
The Alps and The Alps are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Rockies and Mount Whitney are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
K2 and Mount Kilimanjaro are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Elbrus and Mount Elbrus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Elbrus and Mount McKinley are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Denali and Matterhorn are popular destinations.,"B-mount,O,B-mount,O,O,O"
Mount Kilimanjaro and Mount Everest are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
K2 and The Rockies are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Fuji and Mount Everest are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Alps and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Elbrus and The Rockies are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Olympus and Mount Kosciuszko are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Denali and Mount Olympus are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Annapurna and Mount Elbrus are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The Himalayas and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Denali and Mount Aconcagua are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
K2 and Mont Blanc are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The Himalayas and Mount Kosciuszko are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Whitney and Mount McKinley are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kilimanjaro and K2 are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
K2 and Mount Olympus are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Denali and Mount Logan are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
The Himalayas and Mount Elbrus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Elbrus and Mount Kilimanjaro are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Logan and K2 are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount Logan and Mount Everest are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kosciuszko and The Himalayas are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
K2 and Denali are popular destinations.,"B-mount,O,B-mount,O,O,O"
Mount Everest and Denali are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount Logan and Mount Logan are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Elbrus and Mount Olympus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Elbrus and Mount Aconcagua are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mont Blanc and The Andes are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Fuji and Mount Whitney are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kosciuszko and Mount Everest are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Kilimanjaro and Mount McKinley are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Denali and Mount Everest are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Denali and Annapurna are popular destinations.,"B-mount,O,B-mount,O,O,O"
Mount Olympus and Mount Aconcagua are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Matterhorn and Mount Logan are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Everest and K2 are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount Elbrus and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Alps and Matterhorn are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Matterhorn and Mont Blanc are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Elbrus and Mount Logan are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Alps and Mount Olympus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Fuji and Mount Kilimanjaro are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Denali and The Rockies are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Annapurna and Mount Aconcagua are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Aconcagua and Annapurna are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Matterhorn and Mount Olympus are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Kosciuszko and Mount Elbrus are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Himalayas and Annapurna are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount Elbrus and The Andes are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
K2 and Mount Whitney are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Fuji and Matterhorn are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
The Alps and Mount Logan are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Rockies and Mount Logan are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Rockies and The Rockies are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Mount Olympus and The Alps are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
Annapurna and Mount Kosciuszko are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Denali and Mount Kilimanjaro are popular destinations.,"B-mount,O,B-mount,I-mount,O,O,O"
Mount Logan and Annapurna are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount McKinley and Annapurna are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Matterhorn and Annapurna are popular destinations.,"B-mount,O,B-mount,O,O,O"
Mont Blanc and K2 are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount Olympus and Mount Fuji are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
The Alps and K2 are popular destinations.,"B-mount,I-mount,O,B-mount,O,O,O"
Mount Logan and Mont Blanc are popular destinations.,"B-mount,I-mount,O,B-mount,I-mount,O,O,O"
